==================================================================
Failed Requests


100 cycle
Random	-51.11
Greedy	-65.79
Original_Only	-71.16

200 cycle
Random	-50.69
Greedy	-62.32
Original_Only	-69.57

300 cycle
Random	-44.56
Greedy	-56.55
Original_Only	-65.12

400 cycle
Random	-43.04
Greedy	-52.21
Original_Only	-61.84

500 cycle
Random	-44.15
Greedy	-52.53
Original_Only	-62.7

==================================================================
Total Costs


100 cycle
Random	-55.21
Greedy	+51.44
Original_Only	+83.91

200 cycle
Random	-51.15
Greedy	+49.06
Original_Only	+84.81

300 cycle
Random	-43.04
Greedy	+49.13
Original_Only	+86.06

400 cycle
Random	-36.33
Greedy	+47.14
Original_Only	+86.54

500 cycle
Random	-32.64
Greedy	+45.54
Original_Only	+86.52

==================================================================
Number of Hops


100 cycle
Random	+35.2
Greedy	+37.09
Original_Only	+72.08

200 cycle
Random	+27.58
Greedy	+30.18
Original_Only	+72.47

300 cycle
Random	+24.66
Greedy	+28.78
Original_Only	+72.22

400 cycle
Random	+25.15
Greedy	+26.93
Original_Only	+73.08

500 cycle
Random	+25.66
Greedy	+25.62
Original_Only	+72.85

