==================================================================
Cuckoo_Search
All Requests: 9897, Average: 19.83366733466934
All Hops: 1578, Average: 3.162324649298597
All Fails: 9208, Average: 18.452905811623246
All Storage Used: 345740, Average: 692.8657314629259
All Processing Used: 16136, Average: 32.33667334669339
All Transmission Used: 11372, Average: 22.789579158316634
Total Cost: 373248, Average: 747.9919839679359
==================================================================



==================================================================
Random
All Requests: 9897, Average: 19.83366733466934
All Hops: 1405, Average: 2.81563126252505
All Fails: 9151, Average: 18.338677354709418
All Storage Used: 404934, Average: 811.4909819639279
All Processing Used: 15908, Average: 31.879759519038075
All Transmission Used: 10815, Average: 21.673346693386772
Total Cost: 431657, Average: 865.0440881763527
==================================================================



==================================================================
Greedy
All Requests: 9897, Average: 19.83366733466934
All Hops: 1816, Average: 3.6392785571142285
All Fails: 9277, Average: 18.59118236472946
All Storage Used: 318662, Average: 638.6012024048097
All Processing Used: 17069, Average: 34.206412825651306
All Transmission Used: 12534, Average: 25.118236472945892
Total Cost: 348265, Average: 697.9258517034068
==================================================================



==================================================================
Original_Only
All Requests: 9897, Average: 19.83366733466934
All Hops: 2069, Average: 4.1462925851703405
All Fails: 9302, Average: 18.64128256513026
All Storage Used: 254993, Average: 511.0080160320641
All Processing Used: 18047, Average: 36.166332665330664
All Transmission Used: 13584, Average: 27.22244488977956
Total Cost: 286624, Average: 574.3967935871743
==================================================================



