==================================================================
Failed Requests


100 cycle
Random	+8.39
Greedy	-75.93
Original_Only	-84.47

200 cycle
Random	-24.6
Greedy	-67.14
Original_Only	-79.65

300 cycle
Random	-34.44
Greedy	-66.23
Original_Only	-77.98

400 cycle
Random	-41.95
Greedy	-69.84
Original_Only	-78.9

500 cycle
Random	-38.64
Greedy	-67.71
Original_Only	-78.43

==================================================================
Total Costs


100 cycle
Random	-75.7
Greedy	+36.24
Original_Only	+61.36

200 cycle
Random	-77.62
Greedy	+39.13
Original_Only	+66.98

300 cycle
Random	-74.37
Greedy	+46.9
Original_Only	+73.69

400 cycle
Random	-73.04
Greedy	+49.23
Original_Only	+75.32

500 cycle
Random	-72.36
Greedy	+49.59
Original_Only	+76.41

==================================================================
Number of Hops


100 cycle
Random	+22.11
Greedy	-27.56
Original_Only	+1.17

200 cycle
Random	+16.59
Greedy	-31.69
Original_Only	-8.19

300 cycle
Random	+13.77
Greedy	-27.74
Original_Only	-4.48

400 cycle
Random	+8.31
Greedy	-24.49
Original_Only	+0.16

500 cycle
Random	+5.16
Greedy	-26.47
Original_Only	-1.73

