==================================================================
Failed Requests


100 cycle
Random	-39.42
Greedy	-58.86
Original_Only	-62.1

200 cycle
Random	-41.51
Greedy	-58.83
Original_Only	-63.11

300 cycle
Random	-44.42
Greedy	-60.39
Original_Only	-64.48

400 cycle
Random	-37.88
Greedy	-54.94
Original_Only	-59.61

500 cycle
Random	-41.45
Greedy	-57.62
Original_Only	-62.1

==================================================================
Total Costs


100 cycle
Random	-45.27
Greedy	+76.83
Original_Only	+92.11

200 cycle
Random	-42.58
Greedy	+75.48
Original_Only	+92.33

300 cycle
Random	-37.24
Greedy	+75.47
Original_Only	+92.6

400 cycle
Random	-31.32
Greedy	+75.43
Original_Only	+92.79

500 cycle
Random	-27.43
Greedy	+74.83
Original_Only	+92.79

==================================================================
Number of Hops


100 cycle
Random	+26.15
Greedy	+53.14
Original_Only	+78.91

200 cycle
Random	+27.07
Greedy	+48.41
Original_Only	+77.87

300 cycle
Random	+24.23
Greedy	+49.8
Original_Only	+79.27

400 cycle
Random	+22.05
Greedy	+48.3
Original_Only	+79.31

500 cycle
Random	+21.61
Greedy	+49.28
Original_Only	+80.34

