==================================================================
Failed Requests


100 cycle
Random	-22.56
Greedy	-25.89
Original_Only	-48.55

200 cycle
Random	-24.93
Greedy	-19.99
Original_Only	-45.65

300 cycle
Random	-25.33
Greedy	-15.22
Original_Only	-41.19

400 cycle
Random	-31.04
Greedy	-16.87
Original_Only	-44.76

500 cycle
Random	-32.32
Greedy	-19.58
Original_Only	-45.69

==================================================================
Total Costs


100 cycle
Random	-57.47
Greedy	+13.88
Original_Only	+48.9

200 cycle
Random	-49.19
Greedy	+10.61
Original_Only	+52.32

300 cycle
Random	-41.45
Greedy	+8.48
Original_Only	+54.54

400 cycle
Random	-34.95
Greedy	+7.66
Original_Only	+54.95

500 cycle
Random	-30.0
Greedy	+7.75
Original_Only	+55.1

==================================================================
Number of Hops


100 cycle
Random	+20.91
Greedy	-1.11
Original_Only	+21.72

200 cycle
Random	+15.55
Greedy	-2.92
Original_Only	+20.38

300 cycle
Random	+16.24
Greedy	-3.11
Original_Only	+21.98

400 cycle
Random	+17.4
Greedy	-2.95
Original_Only	+22.43

500 cycle
Random	+15.8
Greedy	-2.6
Original_Only	+22.58

