0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0
3	1.7	12.0	0.0	3.74299345444258
4	2.8	23.0	0.0	6.896375859826666
5	4.2	30.0	0.0	8.964373932405987
6	8.8	52.0	0.0	14.945233353815524
7	17.5	78.0	0.0	24.22085877915975
8	28.4	104.0	0.0	33.3802336720401
9	42.3	128.0	0.0	45.17532512334582
10	57.1	158.0	0.0	57.02008418092699
11	73.9	194.0	0.0	69.66268728666732
12	98.0	236.0	0.0	84.4748483277715
13	119.2	285.0	0.0	99.44325014801156
14	145.0	369.0	0.0	123.5686044268527
15	169.3	427.0	0.0	141.26857400002308
16	193.0	486.0	16.0	152.72786255297362
17	218.9	570.0	35.0	169.29350253332228
18	247.2	625.0	75.0	174.4498781885502
19	273.2	729.0	108.0	194.77104507600714
20	301.7	796.0	109.0	206.8680980721774
21	331.9	904.0	113.0	230.19359243905987
22	365.4	1005.0	121.0	247.51371679161542
23	392.5	1091.0	121.0	266.95177467100683
24	420.3	1196.0	124.0	291.23257029391476
25	445.9	1274.0	135.0	307.6128898469633
26	475.4	1363.0	163.0	323.57323745946604
27	504.5	1472.0	196.0	347.17524393308923
28	523.7	1501.0	218.0	350.76346731095015
29	549.2	1542.0	262.0	353.95559043473236
30	573.7	1547.0	292.0	348.9131840443981
31	596.2	1552.0	299.0	344.5358617038291
32	617.3	1556.0	299.0	340.71162293059507
33	638.5	1559.0	299.0	337.79320597075366
34	656.0	1568.0	299.0	337.8905148121208
35	676.4	1572.0	314.0	337.3838170392884
36	693.0	1581.0	325.0	337.7114152645717
37	712.8	1593.0	345.0	341.0198821183305
38	724.7	1602.0	366.0	344.5222924572516
39	742.3	1607.0	383.0	347.67716347209233
40	756.9	1610.0	399.0	352.10607776634583
41	773.2	1621.0	418.0	354.98867587572425
42	787.8	1635.0	434.0	356.66981930070847
43	812.0	1653.0	453.0	356.5829496765093
44	833.3	1686.0	470.0	360.00223610416646
45	854.5	1703.0	480.0	361.1368854049666
46	876.1	1722.0	492.0	361.8036622257989
47	897.6	1760.0	502.0	367.689597350809
48	917.2	1781.0	522.0	368.838392795544
49	937.9	1821.0	528.0	374.64902241965075
50	955.4	1849.0	538.0	378.4518991893157
51	983.6	1875.0	564.0	376.12450066434127
52	1012.9	1899.0	584.0	374.8694306021765
53	1041.6	1932.0	604.0	380.0629421556382
54	1070.0	1940.0	633.0	382.7746073082696
55	1095.7	1971.0	656.0	386.02488261768826
56	1122.8	1980.0	687.0	386.85780333347293
57	1146.4	2005.0	713.0	389.61832605769456
58	1164.1	2041.0	723.0	395.5898001718447
59	1182.3	2063.0	741.0	396.10403936339765
60	1200.5	2077.0	776.0	393.71188704432075
61	1216.4	2099.0	794.0	395.01929066819
62	1231.5	2134.0	806.0	399.4942427620203
63	1244.8	2153.0	806.0	403.4361907414852
64	1261.3	2165.0	820.0	403.8217552336674
65	1274.0	2182.0	827.0	405.31197860413647
66	1287.5	2189.0	827.0	405.6442406838781
67	1300.0	2193.0	833.0	405.3748882207678
68	1316.4	2208.0	845.0	408.475752034316
69	1328.7	2208.0	854.0	408.5944321696026
70	1345.0	2208.0	864.0	409.65937069716836
71	1365.3	2208.0	864.0	414.0427634918886
72	1382.9	2208.0	869.0	418.7310473322942
73	1400.9	2208.0	869.0	423.5234232011259
74	1419.1	2222.0	869.0	426.4543234626658
75	1440.8	2243.0	873.0	431.02872294082675
76	1456.6	2258.0	878.0	431.13923505058085
77	1473.0	2282.0	878.0	431.7830473744888
78	1496.2	2326.0	888.0	439.2279135027736
79	1517.5	2373.0	907.0	446.80336838479633
80	1538.9	2439.0	912.0	458.8179268511639
81	1561.1	2482.0	923.0	464.5984179912798
82	1583.5	2532.0	928.0	473.4835266405791
83	1603.8	2581.0	943.0	481.16687334021657
84	1631.6	2669.0	958.0	498.6161248896791
85	1653.3	2732.0	965.0	513.3086888023619
86	1669.0	2749.0	983.0	518.2752164632224
87	1691.6	2792.0	1003.0	526.8009491259484
88	1715.6	2818.0	1028.0	529.8994621623992
89	1741.1	2864.0	1059.0	536.7035401411099
90	1765.0	2895.0	1085.0	539.7664309680623
91	1802.0	2946.0	1147.0	538.0185870395186
92	1838.3	2984.0	1171.0	529.0792095707409
93	1875.0	3025.0	1228.0	520.8756089509279
94	1910.6	3053.0	1272.0	509.93689805700467
95	1943.2	3084.0	1308.0	507.45222435220444
96	1973.3	3104.0	1359.0	500.4054456138542
97	2011.7	3133.0	1408.0	495.1418079702016
98	2040.5	3141.0	1442.0	490.4714568657385
99	2062.0	3148.0	1458.0	489.0051124477126
100	2092.1	3171.0	1474.0	492.0047662370762
101	2114.2	3185.0	1485.0	493.12854307979376
102	2140.2	3194.0	1499.0	491.9430454839259
103	2167.7	3203.0	1542.0	489.55654423161377
104	2187.0	3207.0	1568.0	489.7634122716804
105	2205.1	3207.0	1583.0	486.1763980285345
106	2221.4	3215.0	1619.0	481.0229100573069
107	2234.1	3224.0	1651.0	477.8737176284128
108	2249.3	3231.0	1667.0	474.88989250140924
109	2266.1	3231.0	1701.0	468.98602324589586
110	2283.7	3231.0	1726.0	467.03962358669315
111	2302.2	3236.0	1743.0	466.312513235491
112	2315.8	3236.0	1762.0	464.62324522132985
113	2332.6	3238.0	1774.0	466.8790421511764
114	2350.9	3254.0	1787.0	471.8524027701883
115	2365.2	3270.0	1799.0	474.0961505855115
116	2379.7	3291.0	1803.0	479.9433404059275
117	2397.5	3350.0	1813.0	491.59053082824937
118	2420.4	3417.0	1824.0	504.3986915129737
