==================================================================
Cuckoo_Search
All Requests: 9897, Average: 19.83366733466934
All Hops: 3836, Average: 7.687374749498998
All Fails: 1568, Average: 3.1422845691382766
All Storage Used: 2050649, Average: 4109.517034068136
All Processing Used: 46839, Average: 93.86573146292585
All Transmission Used: 17776, Average: 35.62324649298597
Total Cost: 2115264, Average: 4239.006012024048
==================================================================



==================================================================
Random
All Requests: 9897, Average: 19.83366733466934
All Hops: 9600, Average: 19.238476953907817
All Fails: 1590, Average: 3.186372745490982
All Storage Used: 2684903, Average: 5380.567134268537
All Processing Used: 69147, Average: 138.57114228456913
All Transmission Used: 40345, Average: 80.85170340681363
Total Cost: 2794395, Average: 5599.98997995992
==================================================================



==================================================================
Greedy
All Requests: 9897, Average: 19.83366733466934
All Hops: 4529, Average: 9.076152304609218
All Fails: 1562, Average: 3.130260521042084
All Storage Used: 2092439, Average: 4193.264529058116
All Processing Used: 47796, Average: 95.78356713426854
All Transmission Used: 18727, Average: 37.52905811623246
Total Cost: 2158962, Average: 4326.5771543086175
==================================================================



==================================================================
Original_Only
All Requests: 9897, Average: 19.83366733466934
All Hops: 26839, Average: 53.78557114228457
All Fails: 1690, Average: 3.3867735470941884
All Storage Used: 151132, Average: 302.8697394789579
All Processing Used: 120504, Average: 241.49098196392785
All Transmission Used: 92928, Average: 186.22845691382764
Total Cost: 364564, Average: 730.5891783567134
==================================================================



