==================================================================
Failed Requests


100 cycle
Random	-13.2
Greedy	-22.38
Original_Only	-56.45

200 cycle
Random	-10.33
Greedy	-13.19
Original_Only	-42.94

300 cycle
Random	-13.77
Greedy	-11.15
Original_Only	-45.83

400 cycle
Random	-14.2
Greedy	-9.36
Original_Only	-42.22

500 cycle
Random	-17.62
Greedy	-10.02
Original_Only	-41.83

==================================================================
Total Costs


100 cycle
Random	-69.11
Greedy	+2.71
Original_Only	+19.74

200 cycle
Random	-73.05
Greedy	+4.74
Original_Only	+24.35

300 cycle
Random	-67.28
Greedy	+3.81
Original_Only	+31.3

400 cycle
Random	-65.1
Greedy	+4.53
Original_Only	+34.43

500 cycle
Random	-60.72
Greedy	+5.27
Original_Only	+37.74

==================================================================
Number of Hops


100 cycle
Random	+22.72
Greedy	-12.0
Original_Only	-31.59

200 cycle
Random	+21.08
Greedy	-8.18
Original_Only	-33.8

300 cycle
Random	+14.08
Greedy	-9.88
Original_Only	-29.96

400 cycle
Random	+12.34
Greedy	-9.86
Original_Only	-29.26

500 cycle
Random	+9.84
Greedy	-9.73
Original_Only	-28.47

