==================================================================
Cuckoo_Search
All Requests: 9897, Average: 19.83366733466934
All Hops: 3748, Average: 7.511022044088176
All Fails: 1606, Average: 3.218436873747495
All Storage Used: 2238287, Average: 4485.545090180361
All Processing Used: 41209, Average: 82.58316633266533
All Transmission Used: 14629, Average: 29.316633266533067
Total Cost: 2294125, Average: 4597.444889779559
==================================================================



==================================================================
Random
All Requests: 9897, Average: 19.83366733466934
All Hops: 9510, Average: 19.05811623246493
All Fails: 1647, Average: 3.3006012024048097
All Storage Used: 2685749, Average: 5382.2625250501005
All Processing Used: 60607, Average: 121.45691382765531
All Transmission Used: 34234, Average: 68.60521042084169
Total Cost: 2780590, Average: 5572.324649298597
==================================================================



==================================================================
Greedy
All Requests: 9897, Average: 19.83366733466934
All Hops: 4179, Average: 8.374749498997996
All Fails: 1614, Average: 3.2344689378757514
All Storage Used: 2273055, Average: 4555.220440881763
All Processing Used: 42664, Average: 85.49899799599199
All Transmission Used: 16089, Average: 32.24248496993988
Total Cost: 2331808, Average: 4672.961923847695
==================================================================



==================================================================
Original_Only
All Requests: 9897, Average: 19.83366733466934
All Hops: 25131, Average: 50.362725450901806
All Fails: 2368, Average: 4.745490981963928
All Storage Used: 151132, Average: 302.8697394789579
All Processing Used: 100512, Average: 201.42685370741484
All Transmission Used: 77894, Average: 156.1002004008016
Total Cost: 329538, Average: 660.3967935871743
==================================================================



